City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Biak,ID,2021-02-07 21:25:04,-0.9131,122.8766,77.13,79,100,2.01,overcast clouds
1,Saldanha,ZA,2021-02-07 21:25:04,-33.0117,17.9442,62.6,72,0,14.97,clear sky
2,Norman Wells,CA,2021-02-07 21:25:04,65.282,-126.8329,-20.2,69,40,3.44,scattered clouds
3,Punta Arenas,CL,2021-02-07 21:25:05,-53.15,-70.9167,73.4,21,0,14.97,clear sky
4,Guozhen,CN,2021-02-07 21:25:05,34.3659,107.359,40.14,61,0,1.83,clear sky
5,Hermanus,ZA,2021-02-07 21:25:05,-34.4187,19.2345,64.99,78,8,4.88,clear sky
6,Ushuaia,AR,2021-02-07 21:21:02,-54.8,-68.3,62.6,55,75,6.91,broken clouds
7,Rikitea,PF,2021-02-07 21:25:06,-23.1203,-134.9692,77.4,73,97,13.04,overcast clouds
8,Pires Do Rio,BR,2021-02-07 21:25:06,-17.2997,-48.2794,72.19,90,100,7.25,overcast clouds
9,Santa Helena,BR,2021-02-07 21:25:06,-2.2311,-45.3,83.82,64,23,5.08,few clouds
10,Isangel,VU,2021-02-07 21:25:06,-19.55,169.2667,78.8,83,20,6.29,few clouds
11,Atuona,PF,2021-02-07 21:23:24,-9.8,-139.0333,79.47,75,18,21.61,few clouds
12,Cabo San Lucas,MX,2021-02-07 21:25:07,22.8909,-109.9124,75.0,56,20,12.66,few clouds
13,Codrington,AU,2021-02-07 21:25:07,-38.2667,141.9667,56.93,70,100,12.24,overcast clouds
14,Khatanga,RU,2021-02-07 21:25:07,71.9667,102.5,-30.3,80,0,10.11,clear sky
15,Ilulissat,GL,2021-02-07 21:25:07,69.2167,-51.1,24.8,39,0,5.75,clear sky
16,Vaini,TO,2021-02-07 21:23:18,-21.2,-175.2,78.8,89,75,13.8,light rain
17,Ajaccio,FR,2021-02-07 21:22:24,42.0,8.9167,51.8,71,75,9.22,broken clouds
18,Nauen,DE,2021-02-07 21:25:08,52.607,12.8737,21.99,75,100,1.01,light snow
19,Saint-Philippe,RE,2021-02-07 21:25:08,-21.3585,55.7679,80.6,74,90,12.35,light rain
20,Faya,SA,2021-02-07 21:25:09,18.3851,42.4509,57.2,44,0,11.5,clear sky
21,Geraldton,AU,2021-02-07 21:25:09,-28.7667,114.6,66.2,88,40,3.44,scattered clouds
22,Albany,US,2021-02-07 21:21:54,42.6001,-73.9662,30.99,72,100,1.25,overcast clouds
23,Jamestown,US,2021-02-07 21:20:25,42.097,-79.2353,15.01,73,90,14.97,light snow
24,Barrow,US,2021-02-07 21:25:10,71.2906,-156.7887,-25.6,68,20,9.22,few clouds
25,Kamenka,RU,2021-02-07 21:25:10,51.3223,42.7678,-7.06,91,14,9.84,few clouds
26,Saint-Georges,GD,2021-02-07 21:24:03,12.0564,-61.7485,80.6,78,75,11.5,broken clouds
27,East London,ZA,2021-02-07 21:25:11,-33.0153,27.9116,73.74,73,99,4.36,overcast clouds
28,Kapaa,US,2021-02-07 21:25:11,22.0752,-159.319,73.99,56,1,3.44,clear sky
29,Bluff,NZ,2021-02-07 21:25:11,-46.6,168.3333,58.26,73,97,5.21,light rain
30,Iralaya,HN,2021-02-07 21:25:12,15.0,-83.2333,81.72,67,11,9.33,few clouds
31,Cayenne,GF,2021-02-07 21:25:12,4.9333,-52.3333,80.6,83,90,13.8,overcast clouds
32,Henties Bay,NA,2021-02-07 21:25:12,-22.116,14.2845,64.99,86,99,5.01,overcast clouds
33,Constitucion,CL,2021-02-07 21:25:12,-35.3333,-72.4167,64.9,71,2,8.46,clear sky
34,Rognan,NO,2021-02-07 21:25:13,67.0953,15.3878,24.01,92,99,1.05,overcast clouds
35,Nowe Miasto Lubawskie,PL,2021-02-07 21:25:13,53.4208,19.5952,8.01,80,62,4.0,broken clouds
36,Hithadhoo,MV,2021-02-07 21:25:13,-0.6,73.0833,81.88,70,74,7.27,broken clouds
37,Byron Bay,AU,2021-02-07 21:25:13,-28.65,153.6167,77.0,65,40,12.66,scattered clouds
38,Georgetown,MY,2021-02-07 21:25:13,5.4112,100.3354,81.0,83,20,1.14,few clouds
39,Cape Town,ZA,2021-02-07 21:24:50,-33.9258,18.4232,69.01,68,0,18.41,clear sky
40,Resistencia,AR,2021-02-07 21:25:14,-27.4606,-58.9839,88.0,37,0,8.05,clear sky
41,Khakhea,BW,2021-02-07 21:25:14,-24.6895,23.494,69.48,85,29,8.93,scattered clouds
42,Port-Gentil,GA,2021-02-07 21:25:14,-0.7193,8.7815,78.8,89,20,4.74,light rain
43,Pisco,PE,2021-02-07 21:24:19,-13.7,-76.2167,77.0,73,75,10.36,broken clouds
44,Laguna,US,2021-02-07 21:25:15,38.421,-121.4238,66.0,48,1,3.44,clear sky
45,Itoman,JP,2021-02-07 21:25:15,26.1247,127.6694,62.6,67,20,6.91,few clouds
46,Nabire,ID,2021-02-07 21:25:16,-3.3667,135.4833,75.34,82,77,3.36,broken clouds
47,Northam,GB,2021-02-07 21:23:50,51.0333,-4.2167,36.0,73,27,14.0,scattered clouds
48,Lovozero,RU,2021-02-07 21:25:16,68.005,35.0117,13.1,95,100,13.76,light snow
49,Abu Samrah,SY,2021-02-07 21:25:16,35.3029,37.1841,51.55,87,1,6.15,clear sky
50,Tasiilaq,GL,2021-02-07 21:25:17,65.6145,-37.6368,26.6,50,0,14.97,clear sky
51,Saint Anthony,US,2021-02-07 21:25:17,45.0205,-93.218,-2.2,42,1,5.32,clear sky
52,Chokurdakh,RU,2021-02-07 21:25:17,70.6333,147.9167,-18.98,87,100,8.77,overcast clouds
53,Taltal,CL,2021-02-07 21:25:17,-25.4,-70.4833,69.37,62,29,7.9,scattered clouds
54,Hilo,US,2021-02-07 21:23:07,19.7297,-155.09,78.8,50,1,3.44,clear sky
55,Arraial Do Cabo,BR,2021-02-07 21:21:08,-22.9661,-42.0278,73.4,88,75,6.91,moderate rain
56,Saskylakh,RU,2021-02-07 21:25:18,71.9167,114.0833,-37.32,78,28,13.71,scattered clouds
57,Tura,IN,2021-02-07 21:25:18,25.5198,90.2201,57.27,46,5,2.91,clear sky
58,Charters Towers,AU,2021-02-07 21:25:19,-20.1,146.2667,77.9,85,100,8.14,overcast clouds
59,Lodingen,NO,2021-02-07 21:25:19,68.414,15.9951,26.6,74,75,2.3,broken clouds
60,Klaksvik,FO,2021-02-07 21:25:19,62.2266,-6.589,37.4,56,75,13.8,broken clouds
61,Puerto Ayora,EC,2021-02-07 21:25:19,-0.7393,-90.3518,82.4,74,75,12.66,light rain
62,Lagos,NG,2021-02-07 21:21:59,6.5833,3.75,84.2,84,40,8.05,scattered clouds
63,Tuktoyaktuk,CA,2021-02-07 21:25:20,69.4541,-133.0374,-27.4,75,75,17.27,snow
64,Mokrous,RU,2021-02-07 21:25:20,51.2333,47.5167,-5.46,90,45,11.9,scattered clouds
65,Emborion,GR,2021-02-07 21:25:20,40.4833,21.55,51.8,43,97,4.61,overcast clouds
66,Esperance,AU,2021-02-07 21:25:20,-33.8667,121.9,62.6,88,20,11.5,few clouds
67,Qaanaaq,GL,2021-02-07 21:24:20,77.484,-69.3632,12.56,85,59,6.87,broken clouds
68,Thompson,CA,2021-02-07 21:25:21,55.7435,-97.8558,-25.6,68,75,17.27,snow
69,Mahebourg,MU,2021-02-07 21:25:21,-20.4081,57.7,80.6,78,40,10.36,scattered clouds
70,Husavik,IS,2021-02-07 21:25:21,66.0449,-17.3389,32.0,74,90,3.44,overcast clouds
71,Umkomaas,ZA,2021-02-07 21:25:22,-30.2067,30.7978,78.01,94,71,8.14,broken clouds
72,Necochea,AR,2021-02-07 21:25:22,-38.5473,-58.7368,60.01,80,100,16.51,overcast clouds
73,Bonthe,SL,2021-02-07 21:25:22,7.5264,-12.505,79.9,81,18,8.23,few clouds
74,Navahrudak,BY,2021-02-07 21:25:22,53.6,25.8333,-4.72,90,77,7.65,broken clouds
75,Mandalgovi,MN,2021-02-07 21:25:23,45.7625,106.2708,12.25,82,0,9.82,clear sky
76,Tautira,PF,2021-02-07 21:25:23,-17.7333,-149.15,86.0,54,20,6.91,few clouds
77,Hamilton,US,2021-02-07 21:25:04,39.1834,-84.5333,24.8,30,75,11.5,broken clouds
78,Portland,US,2021-02-07 21:23:29,45.5234,-122.6762,48.0,66,75,11.5,broken clouds
79,Labuhan,ID,2021-02-07 21:25:24,-6.8844,112.2051,78.37,86,100,10.07,light rain
80,Havelock,US,2021-02-07 21:25:24,34.8791,-76.9013,46.99,76,75,18.41,broken clouds
81,Talnakh,RU,2021-02-07 21:22:46,69.4865,88.3972,-20.13,74,19,2.75,few clouds
82,Busselton,AU,2021-02-07 21:25:25,-33.65,115.3333,62.01,99,87,1.01,overcast clouds
83,Ribeira Grande,PT,2021-02-07 21:25:25,38.5167,-28.7,59.0,77,40,11.5,scattered clouds
84,Broome,US,2021-02-07 21:25:25,42.2506,-75.833,28.99,63,40,12.66,light snow
85,Dubbo,AU,2021-02-07 21:21:34,-32.25,148.6167,68.0,73,7,13.8,clear sky
86,Suoyarvi,RU,2021-02-07 21:25:26,62.0833,32.35,1.44,94,93,4.74,overcast clouds
87,Puri,IN,2021-02-07 21:25:26,19.8,85.85,64.4,88,20,5.28,mist
88,Outlook,CA,2021-02-07 21:25:26,51.5001,-107.0513,-18.4,69,32,8.05,scattered clouds
89,Muisne,EC,2021-02-07 21:25:27,0.6,-80.0333,84.2,84,75,5.75,light rain
90,Ha Giang,VN,2021-02-07 21:25:27,22.8333,104.9833,66.72,84,100,2.39,overcast clouds
91,Praid,RO,2021-02-07 21:25:27,46.55,25.1333,41.0,87,20,9.22,few clouds
92,Pangnirtung,CA,2021-02-07 21:25:27,66.1451,-65.7125,33.8,44,20,16.11,few clouds
93,Lobito,AO,2021-02-07 21:25:28,-12.3481,13.5456,77.02,74,97,2.48,overcast clouds
94,Hobart,AU,2021-02-07 21:24:31,-42.8794,147.3294,57.2,54,40,12.66,scattered clouds
95,Saint-Francois,FR,2021-02-07 21:25:28,46.4154,3.9054,39.2,87,90,3.44,overcast clouds
96,Burntwood,GB,2021-02-07 21:22:32,52.6808,-1.9276,33.01,71,100,10.0,overcast clouds
